date,open,high,low,close
1639288800000,48973.66000000,49220.19000000,48941.58000000,49159.83000000
1639292400000,49159.83000000,49505.98000000,48525.66000000,49308.72000000
1639296000000,49301.21000000,49694.68000000,48497.43000000,48965.01000000
1639299600000,48963.91000000,150000.00000000,48035.49000000,48806.40000000
1639303200000,48806.40000000,68692.00000000,48010.84000000,48908.66000000
1639306800000,48915.29000000,49215.84000000,48010.84000000,49136.63000000
1639310400000,49127.98000000,68692.00000000,48010.83000000,49513.85000000
1639314000000,49515.86000000,49865.13000000,49172.36000000,49791.36000000
1639317600000,49795.44000000,49866.08000000,49023.80000000,49862.78000000
1639321200000,49862.79000000,50013.70000000,49572.40000000,49624.16000000
1639324800000,49622.11000000,50013.70000000,48720.37000000,49871.33000000
1639328400000,49872.57000000,50509.84000000,48528.60000000,50250.02000000
1639332000000,50249.97000000,50621.41000000,49626.42000000,50483.50000000
1639335600000,50474.48000000,50777.00000000,50130.60000000,50221.05000000
1639339200000,50221.01000000,50541.75000000,50130.60000000,50262.59000000
1639342800000,50266.13000000,50312.82000000,49907.60000000,49947.88000000
1639346400000,49947.92000000,50295.45000000,49626.42000000,50272.02000000
1639350000000,50269.15000000,50770.94000000,49950.01000000,50066.68000000
1639353600000,50050.41000000,50183.62000000,49570.17000000,49625.96000000
1639357200000,49629.34000000,50938.67000000,48564.23000000,48592.19000000
1639360800000,48590.01000000,48980.01000000,48528.60000000,48770.01000000
1639364400000,48762.88000000,49805.71000000,48692.79000000,48873.70000000
1639368000000,48870.43000000,49095.55000000,48754.80000000,49028.99000000
1639371600000,49028.97000000,49330.65000000,48719.67000000,49230.00000000
1639375200000,49230.00000000,49433.48000000,48528.60000000,48950.00000000
1639378800000,48936.89000000,49210.00000000,48528.60000000,48737.25000000
1639382400000,48740.80000000,49200.00000000,48528.60000000,49019.95000000
1639386000000,49014.99000000,49050.31000000,48240.00000000,48861.75000000
1639389600000,48859.28000000,49200.00000000,48010.83000000,48699.98000000
1639393200000,48685.59000000,49180.00000000,48010.83000000,48847.66000000
1639396800000,48840.98000000,49160.00000000,48527.40000000,48584.61000000
1639400400000,48584.65000000,49159.26000000,47930.84000000,48419.26000000
1639404000000,48419.26000000,49180.00000000,47436.01000000,47949.41000000
